id,question_ru,original_answer,model_answer
miscellaneous/test/504,Какая популярная игрушка представлена в фильме «Подручный Хадсакера»?,B,B
professional_accounting/test/9,"Carson владел 40% выпущенных акций корпорации C. В течение налогового года корпорация сообщила о налогооблагаемом доходе в размере 400 000 долларов США и распределила в общей сложности 70 000 долларов США в виде денежных дивидендов среди своих акционеров. Carson точно указала 28 000 долларов США валового дохода в индивидуальной налоговой декларации Carson. Если бы корпорация была корпорацией S и распределения среди владельцев были пропорциональными, какой доход Carson указала бы в индивидуальной налоговой декларации Carson?",C,B
elementary_mathematics/test/121,Значение цифры 5 в числе 24 513 во сколько раз превышает значение цифры 5 в числе 357?,A,A
formal_logic/test/8,"Какое из следующих предложений является непосредственным (одношаговым) следствием в PL данных посылок?
~E ⊃ ~F
G ⊃ F
H ∨ ~E
H ⊃ I
~I",D,A
professional_law/test/1234,"Владелец дома передал свою собственность кузену «на всю жизнь, с остатком наследникам (домовладельца)». Позже кузен передал собственность фермеру «на тот срок, пока он будет продолжать обрабатывать собственность». После смерти кузена наследники домовладельца подали иск против фермера с требованием аннулировать право собственности. Какая доктрина общего права будет наиболее применима при определении судом права собственности на собственность?",C,B
clinical_knowledge/test/76,Какие три фактора регулируют ударный объем?,B,B
high_school_microeconomics/test/161,Какие из следующих утверждений верны?,D,B
moral_disputes/test/314,"Центральная предпосылка аргументации Уэллмана заключается в том, что право государства на свободу объединений подразумевает право _____ потенциальных членов:",A,D
logical_fallacies/test/136,Что из перечисленного лучше всего описывает ошибочность самоочевидных истин?,C,C
high_school_world_history/test/127,"Этот вопрос относится к следующей информации.
Разве только единство не может объединить нас в эффективную силу, способную создать наш собственный прогресс и внести наш ценный вклад в мир во всем мире? Какое независимое африканское государство будет утверждать, что его финансовая структура и банковские учреждения полностью задействованы для его национального развития? Какое независимое африканское государство будет утверждать, что его материальные ресурсы и человеческая энергия доступны для его собственных национальных устремлений? Мы быстро понимаем, что политической независимости недостаточно, чтобы избавить нас от последствий колониального правления. Мы были слишком заняты заботой о наших отдельных государствах, чтобы полностью понять основную потребность в союзе, основанном на общей цели, общем планировании и общих усилиях.
Президент Ганы Кваме Нкрума, выступая перед Организацией африканского единства, 1963 г.
Какой из следующих факторов был наиболее важным в предотвращении осуществления политических мечтаний, описанных в отрывке?",A,C
professional_law/test/892,"Правление государственного университета приняло следующее правило относительно требований к резидентству: «Студент будет считаться законным резидентом штата для целей регистрации в университете, если такое лицо старше 21 года и установило законное место жительства в штате в течение как минимум одного года, непосредственно предшествующего последнему дню регистрации для получения кредита». «Студент переехал в штат и немедленно был зачислен в государственный университет. Поскольку он не выполнил требования к резидентству университета, студент должен был платить за обучение 1800 долларов каждый семестр, что на 400 долларов больше, чем плата за обучение студентов-резидентов штата. В иске студента, оспаривающего конституционность положения, регулирующего определение резидентства с целью установления разницы в оплате для студентов из других штатов в государственном колледже, суд, скорее всего, объявит положение",D,C
high_school_psychology/test/84,"Медицинская модель поведения с психологическими расстройствами, скорее всего, подвергнется критике за игнорирование важности",D,A
high_school_european_history/test/145,"Этот вопрос относится к следующей информации.
С этого момента и до того момента, когда враг будет изгнан с земли Республики, все французы находятся в постоянной реквизиции для службы в армиях. Молодые люди должны идти в бой; женатые мужчины должны ковать оружие и перевозить провизию; женщины должны делать палатки и одежду и служить в госпиталях; дети должны превращать старое полотно в корпию; старики должны отправляться в общественные места, чтобы пробудить мужество воинов и проповедовать ненависть к королям и единство Республики. …
Комитет общественной безопасности поручается принять все необходимые меры для того, чтобы без промедления организовать чрезвычайное производство оружия любого рода, которое соответствует пылу и энергии французского народа. Соответственно, он уполномочен создавать все учреждения, фабрики, мастерские и мельницы, которые будут сочтены необходимыми для выполнения этих работ, а также реквизировать на всей территории Республики художников и рабочих, которые могут способствовать их успеху. Представители народа, посланные для исполнения настоящего закона, будут иметь те же полномочия в своих соответствующих округах, действуя совместно с Комитетом общественной безопасности; они наделены неограниченными полномочиями, предоставленными представителям народа в армиях.
Levée en Masse, 23 августа 1793 г.
Отрывок можно использовать как один из примеров того, как Комитет общественной безопасности",B,B
high_school_microeconomics/test/172,"Землю, труд, капитал и предпринимательский талант часто называют",D,A
professional_accounting/test/69,"По состоянию на 1 декабря 2-го года компания получила кредитную линию на сумму $1 000 000 со сроком погашения в один год, по которой она взяла $250 000, обеспеченную облигацию на сумму $750 000, подлежащую погашению пятью ежегодными взносами, и трехлетнюю облигацию с шаровым платежом на сумму $300 000. У компании нет других обязательств. Как следует отразить долг компании в ее классифицированном балансе на 31 декабря 2-го года, если в декабре не было произведено никаких выплат по долгу?",C,A
security_studies/test/240,Каким образом можно провести различие между ограниченной силой и полномасштабной силой?,D,D
high_school_biology/test/63,"В этом биоме произрастают растения, корни которых не могут проникать глубоко из-за наличия вечной мерзлоты.",C,B
jurisprudence/test/38,"Свод законов, устанавливающий права между людьми и предусматривающий возмещение ущерба за нарушение этих прав, называется:",B,B
